Ind,Initial_260_280,Initial_260_230,Redo_260_280,Redo_260_230
SH-Z-17,1.85,4.07,1.79,1.95
SH-Z-18,1.81,3.84,1.79,2.08
SH-Z-19,1.4,1.44,1.62,1.02
SH-Z-20,1.83,3.85,1.78,1.7
SH-Z-21,1.7,1.67,1.68,1.3
SH-Z-22,1.84,2.4,1.8,1.66
SH-Z-23,1.83,2.22,1.8,1.71
SH-Z-24,1.62,1.38,1.62,1.14
SH-Z-25,1.83,-4.46,1.76,1.79
SH-Z-26,1.84,7.26,1.8,2.24
SH-Z-27,1.83,2.81,1.79,1.31
SH-Z-28,1.53,0.69,1.58,0.59
SH-Z-29,1.84,4.78,1.79,1.3
SH-Z-30,1.81,2.46,1.78,1.39
SH-Z-31,1.74,1.83,1.73,1.08
SH-Z-32,1.6,1.2,1.58,0.64
SH-Z-33,1.68,1.77,1.68,1.27
SH-Z-34,1.63,1.48,1.64,1.07
SH-Z-35,1.81,4.47,1.8,1.56
SH-Z-36,1.82,3.1,1.8,1.56
SH-Z-37,1.76,1.86,1.76,1.11
SH-Z-38,1.75,1.01,1.75,0.76
SH-Z-39,1.82,5.26,1.81,2.01
SH-Z-40,1.77,3.18,1.75,1.26
SH-Z-41,1.79,1.86,1.78,0.95
SH-Z-42,1.62,1.1,1.68,0.08
SH-Z-43,1.79,4.87,1.79,1.07
SH-Z-44,1.82,2.89,1.81,1.58
SH-Z-45,1.8,5.76,1.78,1.46
SH-Z-46,1.7,4.9,1.7,1.45
SH-Z-47,1.85,-2.75,1.81,2.24
SH-Z-48,1.85,-1.41,1.78,2.11
SH-Z-49,1.44,2.76,1.44,0.59
SH-Z-50,1.81,-5.97,1.76,1.32
SH-Z-51,1.31,0.32,1.33,0.24
SH-Z-52,1.87,-2.09,1.79,1.2
SH-Z-53,1.85,5.02,1.8,1.03
SH-Z-54,1.89,9.22,1.8,1.06
SH-Z-55,1.86,-8.13,1.74,0.76
SH-Z-56,1.91,2.16,1.78,0.58
SH-Z-57,1.87,1.3,1.8,0.54
SH-Z-58,1.92,-1.51,1.76,1.02
SH-Z-59,1.85,-3.64,1.77,1.65
SH-Z-60,1.82,-8.6,1.77,1.91
